farm,module_name,Date,day_age,Độ mặn,Độ kiềm,pH,Nhiệt độ,TDS,module,TAN,type3,Season,Loại ao,Giống tôm,Công nghệ nuôi,Mực nước,Vụ nuôi,Time,Độ trong,ao,Độ cứng,Độ màu,area,Ngày thả,Tuổi tôm
Farm_Mien_Nam,2A3,4/16/2024,-2.0,33.95915222,124.0,8.279008865,32.58911896,32.99784088,Khu_2,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,2A3,4605,275,834,349,363
Farm_Mien_Nam,2A3,4/16/2024,-2.0,33.0,124.0,8.345266342,29.92003632,32.99784088,Khu_2,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,2A3,4605,275,834,349,363
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.95915222,124.0,8.251972198,33.2135849,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A5,4/16/2024,-2.0,33.95915222,124.0,8.243337631,32.13587952,32.99784088,Khu_2,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,2A5,4605,275,834,16,30
Farm_Mien_Nam,2A5,4/16/2024,-2.0,33.0,125.0,8.261725426,29.94017792,32.99784088,Khu_2,0.4,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,2A5,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/19/2024,1.0,33.95915222,124.0,8.419365883,29.43657684,32.99784088,Khu_2,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,2A1,4605,275,834,19,33
Farm_Mien_Nam,2A1,4/19/2024,1.0,33.95915222,124.0,8.391683578,30.10133362,32.99784088,Khu_2,0.3,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,2A1,4605,275,834,19,33
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.95915222,124.0,8.251972198,33.2135849,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",90.0,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.95915222,124.0,8.251972198,33.2135849,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",85.0,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.0,122.0,8.322341919,29.92003632,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
Farm_Mien_Nam,2A1,4/16/2024,-2.0,33.95915222,124.0,8.251972198,33.2135849,32.99784088,Khu_2,7.2,Culture Pond,Dry,Rectangle,Vietuc,"two period, grow, exchange water",75.8,Vụ 1,8.0,22.5,2A1,4605,275,834,16,30
